month,borough,county_clean,neighborhood,zip,zori,RegionID,SizeRank,RegionType,StateName,State,City,Metro,CountyName
2015-01-31,Bronx,Bronx,Bronx Park and Fordham,10458,NA,61798,63,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Bronx Park and Fordham,10467,NA,61807,17,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Bronx Park and Fordham,10468,NA,61808,95,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Central Bronx,10453,NA,61793,84,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Central Bronx,10457,NA,61797,107,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Central Bronx,10460,NA,61800,462,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,High Bridge and Morrisania,10451,NA,61791,838,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,High Bridge and Morrisania,10452,NA,61792,112,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,High Bridge and Morrisania,10456,NA,61796,49,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Hunts Point and Mott Haven,10454,NA,61794,2018,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Hunts Point and Mott Haven,10455,NA,61795,1733,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Hunts Point and Mott Haven,10459,NA,61799,914,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Kingsbridge and Riverdale,10463,NA,61803,183,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Kingsbridge and Riverdale,10463,NA,61803,183,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Kingsbridge and Riverdale,10471,NA,61811,5260,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Northeast Bronx,10466,NA,61806,142,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Northeast Bronx,10469,NA,61809,121,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Northeast Bronx,10470,NA,61810,7520,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Southeast Bronx,10461,NA,61801,894,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Southeast Bronx,10462,NA,61802,128,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Southeast Bronx,10465,NA,61805,1175,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Southeast Bronx,10472,NA,61812,264,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Bronx,Bronx,Southeast Bronx,10473,NA,61813,502,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
2015-01-31,Brooklyn,Kings,Borough Park,11204,NA,62015,91,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
2015-01-31,Brooklyn,Kings,Borough Park,11218,NA,62029,125,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
2015-01-31,Brooklyn,Kings,Borough Park,11219,NA,62030,43,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
2015-01-31,Brooklyn,Kings,Borough Park,11230,NA,62040,57,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
2015-01-31,Brooklyn,Kings,Bushwick and Williamsburg,11206,2491.099401530713,62017,47,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
2015-01-31,Brooklyn,Kings,Bushwick and Williamsburg,11221,2141.4461685076235,62032,48,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
2015-01-31,Brooklyn,Kings,Bushwick and Williamsburg,11237,2397.2786130225463,62047,1114,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
2015-01-31,Brooklyn,Kings,Canarsie and Flatlands,11234,NA,62044,36,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
2015-01-31,Brooklyn,Kings,Canarsie and Flatlands,11236,NA,62046,16,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
2015-01-31,Brooklyn,Kings,Central Brooklyn,11212,NA,62023,127,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
2015-01-31,Brooklyn,Kings,Central Brooklyn,11213,1993.779343067379,62024,217,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
